#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
        50   -1.4706475855e+01    2.1639519255e+02   -2.3489283778e+01    8.7828079236e+00    3.8439981453e+00   -2.7333281924e+01    1.6000000000e+01    4.2125582695e-04    5.7708333333e-01
        51   -1.4279154459e+01    2.0447192444e+02   -3.6642852778e+01    2.2363698320e+01    4.7320195671e+00   -4.1374872345e+01    1.6000000000e+01    4.6755373478e-04    5.8802083333e-01
        52   -1.4646308232e+01    2.1463035681e+02   -3.2837831271e+01    1.8191523039e+01    4.2961422566e+00   -3.7133973528e+01    1.6000000000e+01    4.7436356544e-04    5.9635416667e-01
        53   -1.4583289621e+01    2.1281038766e+02   -2.7369668068e+01    1.2786378447e+01    3.9126474351e+00   -3.1282315503e+01    1.6000000000e+01    4.6798586845e-04    6.0000000000e-01
        54   -1.4636521952e+01    2.1433966097e+02   -2.7434863576e+01    1.2798341624e+01    5.0990341634e+00   -3.2533897740e+01    1.6000000000e+01    4.9762427807e-04    6.2812500000e-01
        55   -1.4551215878e+01    2.1183368545e+02   -4.1150487595e+01    2.6599271717e+01    5.1217788896e+00   -4.6272266485e+01    1.6000000000e+01    4.6907365322e-04    5.8906250000e-01
        56   -1.4611889826e+01    2.1384928990e+02   -2.5683493071e+01    1.1071603245e+01    4.3953359500e+00   -3.0078829021e+01    1.6000000000e+01    4.5315921307e-04    5.9583333333e-01
        57   -1.4632026732e+01    2.1419288045e+02   -2.7984738576e+01    1.3352711844e+01    3.6961273403e+00   -3.1680865917e+01    1.6000000000e+01    4.6333670616e-04    6.2187500000e-01
        58   -1.4475059218e+01    2.0965129035e+02   -3.8102822126e+01    2.3627762908e+01    4.4195605017e+00   -4.2522382628e+01    1.6000000000e+01    4.5345723629e-04    5.9375000000e-01
        59   -1.4756576913e+01    2.1795081798e+02   -3.3074649188e+01    1.8318072276e+01    4.7961200049e+00   -3.7870769193e+01    1.6000000000e+01    4.6221911907e-04    5.9010416667e-01
        60   -1.4508039931e+01    2.1070029456e+02   -4.3357432867e+01    2.8849392937e+01    4.6203265115e+00   -4.7977759379e+01    1.6000000000e+01    4.5324862003e-04    5.8177083333e-01
        61   -1.4727444195e+01    2.1696687655e+02   -3.5263064537e+01    2.0535620342e+01    5.1081876732e+00   -4.0371252210e+01    1.6000000000e+01    4.7032535076e-04    6.0208333333e-01
